Set,Profile,expressivity,class_count,indiv_count,obj_property_count,dataproperty_count,datatypes_count,Cyclic Cls,HC_Cohesion,HC_MAX_DEPTH,HC_Max_Sibling,HC_Avg_Sibling,C_Tangledness,C_MaxTangledness,HP_Cohesion,P_Tangledness,P_MaxTangledness,HP_MAX_DEPTH,HP_Max_Sibling,HP_Avg_Sibling,OP_Cohesion,Onto_Cohesion,RRichness,AttRichness,UI,EUR,Axioms_count,AxiomsLogical_count,Tbox_size,Abox_size,Rbox_size,Tbox_ratio,Abox_ratio,Rbox_ratio,GCI,PCD,NPCD,GCI_Ratio,PCD_Ratio,NPCD_Ratio,MaxNesting,AvgNesting,ClsDisjoinedRatio,ClsWithNominalsRatio,IndivSameRatio,IndivDiffRatio,NominalsTBoxRatio,MaxACC,OntoCCDensity,Intersection,Union,Existentiel,Universal,LeastCardinality,MostCardinality,ExactCardinality,avgValuesCard,LogestMCard,LogestLCard,LogestECard,Complement,OneOf,HasValue,HasSelf,InversePropRatio,TransitivePropRatio,ReflexivePropRatio,IrreflexivePropRatio,SymmetricPropRatio,AsymmetricPropRatio,FunctionalPropRatio,InverseFuncPropRatio,HierarchyPropRatio,SubClassOf,InverseObjectProperties,SubObjectPropertyOf,FunctionalObjectProperty,TransitiveObjectProperty,EquivalentClasses,DisjointClasses,SubPropertyChainOf,ObjectPropertyRange,ObjectPropertyDomain,DisjointUnion,ClassAssertion,DataPropertyRange,DataPropertyDomain,ObjectPropertyAssertion,DataPropertyAssertion,DifferentIndividuals,SymmetricObjectProperty,ReflexiveObjectProperty,InverseFunctionalObjectProperty,EquivalentDataProperties,SameIndividual,EquivalentObjectProperties,SubDataPropertyOf,FunctionalDataProperty,IrrefexiveObjectProperty,AsymmetricObjectProperty,DisjointObjectProperties
Train,EL,AL,2193,0,0,0,0,0.03,0.004,10,700,3.348,0.091,2,0,0,0,0,0,0,0,0.004,0,0,0,0,4433,2241,2241,0,0,100,0,0,0,2241,0,0,100,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Train,DL,SRIQ,70232,18055,154,0,0,0.001,0,29,98,3.049,0.006,5,0.009,1.299,3,3,10,1.5,0,0.003,0,0,0,0,473463,403078,181839,221086,153,45.113,54.849,0.038,17792,45352,41405,9.784,24.941,22.77,24,2.865,0,0,0,0,0,12,0.088640226,17.474,0.133,82.384,0,0.005,0.005,0,3868.38,2,2,0,0,0,0,0,51.81,51.8,0,0,0,0,0,0,93.777,30.729,0.002,0.012,0,0.005,14.384,0,0.005,0.006,0.007,0,54.849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Train,DL,SROIF,38035,18,118,0,0,0,0,12,14184,2.807,0.005,3,0.022,1.709,2,4,7,2.286,0,0.007,0,0,0,0,109442,71290,71054,20,216,99.669,0.028,0.303,8797,27168,9094,12.381,38.236,12.799,7,2.424,0.018,0.011,0,44.444,100,3,0.140184461,0.733,0,99.24,0.013,0,0,0,0,0,0,0,0,0.013,0,0,49.054,49.739,0,0,0,0,0,0,99.13,86.593,0.032,0.105,0.003,0.031,13.069,0.007,0.046,0.032,0.046,0,0.025,0,0,0,0,0.003,0.007,0,0,0,0,0,0,0,0,0,0
Train,EL,ALE,2410,0,3,0,0,0,0.003,6,2328,172.071,0,1,0,0,0,0,0,0,0,0.003,0,0,0,0,14133,11720,11720,0,0,100,0,0,0,11720,0,0,100,0,3,2.794,0,0,0,0,0,1,0.794453925,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Train,EL,ALE+,44271,0,10,0,0,0,0.005,23,2498,7.836,0.014,10,0,0,0,0,0,0,0,0.005,0,0,0,0,159204,114923,114922,0,1,99.999,0,0.001,0,114922,0,0,100,0,3,2.4,0,0,0,0,0,1,0.40028019,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.999,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Train,DL,ALCON(D),25,20,23,17,2,4.151,0.051,2,2,1.4,4.167,2,0,0,0,0,0,0,0.005,0.028,0.254,0.68,0,0,200,136,48,20,68,35.294,14.706,50,0,44,0,0,91.667,0,5,2.521,20,8,0,0,25,2,0.270833333,0,7.692,0,65.385,19.231,0,0,0,0,0,0,0,7.692,0,0,0,0,0,0,0,0,0,0,0,32.353,0,0,0,0,0,2.941,0,8.088,16.912,0,14.706,12.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Train,DL,SHI(D),39,50,53,49,7,0.611,0.06,2,6,2.333,5.263,2,0.006,0,1,2,4,4,0.003,0.023,0.869,1.256,0,0,594,454,156,67,231,34.361,14.758,50.881,4,15,7,2.564,9.615,4.487,29,2.013,64.103,0,0,0,0,1,0.006410256,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.626,1.322,0.881,0,1.542,1.322,28.414,0,11.013,11.013,0,11.233,9.692,10.132,3.084,0.441,0,0.441,0,0,0.441,0,0.441,3.965,0,0,0,0
Train,DL,SRI,5786,0,23,0,0,0,0.007,15,169,3.405,0.104,6,0.047,0,1,3,2,1.667,0,0.027,0.003,0,0,0,20591,14782,14767,0,15,99.899,0,0.101,2516,6055,130,17.038,41.004,0.88,51,2.995,1.02,0,0,0,0,25,0.028699126,24.929,0.132,74.92,0.009,0,0,0,0,0,0,0,0.009,0,0,0,76.581,76.581,0,0,0,0,0,0,12.333,81.721,0.014,0.034,0,0.027,17.914,0.264,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Train,EL,ALR,39,2182,57,0,0,4.167,0.171,6,9,2.846,5.263,2,0.006,0,1,2,5,5,0,0.088,0,0,0,0,7250,7155,100,7049,6,1.398,98.519,0.084,54,46,0,54,46,0,3,2.63,0,0,0,0,0,1,0.63,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.524,1.398,0,0.07,0,0,0,0,0.014,0,0,0,30.482,0,0,68.036,0,0,0,0,0,0,0,0,0,0,0,0,0
Train,EL,ALER,63741,0,20,0,0,0,0.002,20,6103,5.183,0.008,9,0.053,0,1,2,2,1.667,0,0.028,0,0,0,0,186795,123036,123023,0,13,99.989,0,0.011,10,123013,0,0.008,99.992,0,4,2.151,0,0,0,0,0,1,0.151370069,0.032,0,99.968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.829,99.989,0,0.004,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Train,EL,ALER,55028,0,194,0,0,0,0.002,23,6103,5.024,0.009,8,0.007,1.546,3,4,7,1.636,0,0.005,0,0,0,0,183687,128467,128366,0,101,99.921,0,0.079,315,128051,0,0.245,99.755,0,4,2.335,0,0,0,0,0,1,0.33298537,0.669,0,99.331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.777,99.921,0,0.042,0,0,0,0,0.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Train,EL,ALER,17293,7,83,0,0,0,0.006,14,499,3.565,0.023,6,0.029,2.41,2,4,8,3,0,0.017,0,0,0,0,52072,34697,34626,7,64,99.795,0.02,0.184,3,34623,0,0.009,99.991,0,4,2.216,0,0,0,0,0,1,0.215647202,0.04,0,99.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.959,99.795,0,0.121,0,0,0,0,0.063,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Train,EL,ALER,55735,11,105,0,0,0,0.003,19,906,4.705,0.013,9,0.016,1.905,2,3,8,2.562,0,0.01,0,0,0,0,182171,126332,126241,11,80,99.928,0.009,0.063,3,126238,0,0.002,99.998,0,4,2.306,0,0,0,0,0,1,0.305906956,0.008,0,99.992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.838,99.928,0,0.032,0,0,0,0,0.031,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Train,EL,ALER,34234,19,198,0,0,0,0.003,15,1518,4.249,0.015,8,0.009,1.515,3,3,8,1.841,0,0.006,0,0,0,0,112603,78173,78000,19,154,99.779,0.024,0.197,336,77664,0,0.431,99.569,0,4,2.287,0,0,0,0,0,1,0.28275641,1.474,0,98.526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.993,99.779,0,0.104,0,0,0,0,0.093,0,0,0,0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Train,EL,ALCRO,581,21,59,0,0,0.133,0.03,13,31,3.368,0.345,2,0.043,3.39,2,2,8,5.286,0,0.037,0,0,0,0,1546,907,833,22,52,91.841,2.426,5.733,32,801,0,3.842,96.158,0,4,2.301,0,0,0,38.095,0,1,0.296518607,1.619,0,98.381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.774,91.841,0,4.079,0,0,0,0,1.654,0,0,0,2.095,0,0,0.11,0,0.221,0,0,0,0,0,0,0,0,0,0,0
Train,EL,ALER,88021,6,75,0,0,0,0,20,2368,3.206,0.005,4,0.033,2.667,2,3,8,2.625,0,0.017,0,0,0,0,221748,133652,133573,6,73,99.941,0.004,0.055,0,133573,0,0,100,0,3,2.331,0,0,0,0,0,1,0.331257065,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.874,99.941,0,0.031,0,0,0,0,0.023,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Train,EL,ALER,78977,0,7,0,0,0,0,20,218,3.053,0,1,0.286,0,1,2,3,3,0,0.143,0,0,0,0,200696,121712,121708,0,4,99.997,0,0.003,0,121708,0,0,100,0,3,2.351,0,0,0,0,0,1,0.351119072,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.235,99.997,0,0.002,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Train,EL,ALER,78977,0,7,0,0,0,0,20,218,3.053,0,1,0.286,0,1,2,3,3,0,0.143,0,0,0,0,200696,121712,121708,0,4,99.997,0,0.003,0,121708,0,0,100,0,3,2.351,0,0,0,0,0,1,0.351119072,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.235,99.997,0,0.002,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Train,EL,ALER,150976,0,2,0,0,0,0,5,824,17.106,0.003,4,0,0,0,0,0,0,0,0,0,0,0,0,318329,167351,167349,0,2,99.999,0,0.001,0,167349,0,0,100,0,3,2.937,0,0,0,0,0,1,0.936623464,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.999,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Train,EL,ALER,30166,8,5,0,0,0,0.004,15,4146,4.664,0.023,8,0.4,0,1,2,2,2,0,0.202,0,0,0,0,87989,57818,57805,8,5,99.978,0.014,0.009,0,57805,0,0,100,0,3,2.164,0,0,0,0,0,1,0.164466742,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.419,99.978,0,0.003,0,0,0,0,0.005,0,0,0,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Train,EL,ALER,42167,11,86,0,0,0,0.004,19,1749,6.15,0.014,9,0.024,2.326,2,3,8,2.562,0,0.014,0,0,0,0,134759,92507,92416,11,80,99.902,0.012,0.086,2,92414,0,0.002,99.998,0,4,2.356,0,0,0,0,0,1,0.356096347,0.006,0,99.994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.902,0,0.044,0,0,0,0,0.042,0,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Train,EL,ALCRO,1162,17,56,0,0,0,0.02,12,178,5.316,0.345,4,0.049,3.571,2,3,8,4.111,0,0.034,0,0,0,0,3046,1829,1759,18,52,96.173,0.984,2.843,51,1708,0,2.899,97.101,0,3,2.244,0,0,0,35.294,0,1,0.244457078,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.698,96.173,0,2.023,0,0,0,0,0.82,0,0,0,0.929,0,0,0,0,0.055,0,0,0,0,0,0,0,0,0,0,0
Train,EL,ALE,834,0,1,0,0,0,0.017,9,22,3.006,0.48,4,0,0,0,0,0,0,0,0.017,0,0,0,0,1893,1058,1058,0,0,100,0,0,0,1058,0,0,100,0,3,2.071,0,0,0,0,0,1,0.070888469,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Train,EL,ALER,2339,8,18,0,0,0,0.005,11,886,5.756,0.128,3,0.052,0,1,2,2,2,0,0.029,0,0,0,0,5235,2880,2865,8,7,99.479,0.278,0.243,115,2750,0,4.014,95.986,0,4,2.154,0,0,0,0,0,1,0.117975567,30.769,0,69.231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.897,99.479,0,0.139,0,0,0,0,0.104,0,0,0,0.278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Train,EL,ALER,54974,0,9,0,0,0,0.001,15,18326,3.403,0.013,14,0.167,0,1,2,3,3,0,0.084,0,0,0,0,161740,106758,106754,0,4,99.996,0,0.004,1,106753,0,0.001,99.999,0,4,2.283,0,0,0,0,0,1,0.283024524,0.003,0,99.997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.139,99.996,0,0.003,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Train,EL,ALER,93415,0,129,0,0,0,0,15,2619,5.865,0.006,6,0.007,0,1,6,2,1.417,0,0.003,0,0,0,0,276644,183102,183083,0,19,99.99,0,0.01,2580,180503,0,1.409,98.591,0,7,2.447,0,0,0,0,0,1,0.431645756,3.123,0,96.877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.142,99.99,0,0.009,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Train,EL,ALCRO,1377,113,99,0,0,0.161,0.006,12,41,2.818,0.291,4,0.004,0,1,3,5,1.667,0,0.005,0.051,0,0,0,3507,2032,1746,266,20,85.925,13.091,0.984,86,1660,0,4.926,95.074,0,4,2.102,0,6.463,1.77,0,78.761,2,0.077605956,0.369,0,66.79,0,0,0,0,0,0,0,0,0,32.841,0,0,0,0,0,0,0,0,0,0,5.525,85.925,0,0.738,0,0,0,0,0.246,0,0,0,5.61,0,0,7.234,0,0,0,0,0,0,0.246,0,0,0,0,0,0
Train,EL,ALER,35197,0,7,0,0,0,0,11,22904,5.57,0.006,2,0,0,0,0,0,0,0,0,0,0,0,0,79797,44594,44589,0,5,99.989,0,0.011,693,43896,0,1.554,98.446,0,4,2.225,0,0,0,0,0,1,0.20987239,7.405,0,92.595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.989,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Train,EL,ALER,43914,15,160,0,0,0,0.003,19,4621,4.376,0.014,8,0.01,1.25,2,3,7,3.053,0,0.006,0,0,0,0,142231,98159,98058,15,86,99.897,0.015,0.088,155,97903,0,0.158,99.842,0,4,2.282,0,0,0,0,0,1,0.28074201,0.436,0,99.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.371,99.897,0,0.059,0,0,0,0,0.029,0,0,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Train,EL,ALCO,227,603,99,0,0,2.989,0.057,7,28,5.02,0.885,3,0,0,0,0,0,0,0,0.057,0.005,0,0,0,1483,1158,437,721,0,37.737,62.263,0,12,425,0,2.746,97.254,0,3,2.432,0,0.881,0,0,0.332,2,0.220823799,0,0,98.964,0,0,0,0,0,0,0,0,0,1.036,0,0,0,0,0,0,0,0,0,0,0,37.737,0,0,0,0,0,0,0,0,0,0,59.326,0,0,2.936,0,0,0,0,0,0,0,0,0,0,0,0,0
Train,EL,ALR,38,50,59,0,0,0,0.033,2,7,1.938,8.108,3,0.028,3.39,2,3,5,1.579,0,0.031,0,0,0,0,266,170,69,64,37,40.588,37.647,21.765,38,31,0,55.072,44.928,0,3,2.551,0,0,0,0,0,1,0.550724638,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.579,40.588,0,17.647,0,0,0,0,4.118,0,0,0,29.412,0,0,8.235,0,0,0,0,0,0,0,0,0,0,0,0,0
Train,EL,ALEH,5561,0,90,0,0,0,0.003,18,98,3.631,0.072,4,0.008,0,1,2,4,2.125,0,0.006,0,0,0,0,11966,6317,6300,0,17,99.731,0,0.269,441,5859,0,7,93,0,4,2.135,0,0,0,0,0,1,0.078412698,71.66,0,28.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.571,99.731,0,0.269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Train,EL,ALCRO,3000,1135,471,0,0,0.134,0.004,14,53,3.024,0.2,6,0.008,0.637,12,6,35,3.142,0,0.006,0.053,0,0,0,9691,6222,3898,1917,407,62.649,30.81,6.541,132,3766,0,3.386,96.614,0,4,2.13,0,6.9,0.176,0.176,18.238,2,0.084017445,8.855,0,59.542,0,0,0,0,0,0,0,0,0,31.603,0,0,0,0,0,0,0,0,0,0,42.308,62.649,0,6.413,0,0,0,0,0.129,0,0,0,19.142,0,0,7.136,0,1.221,0,0,0,0,3.311,0,0,0,0,0,0
Train,EL,ALR,38,50,59,0,0,0,0.033,2,7,1.938,8.108,3,0.028,3.39,2,3,5,1.579,0,0.031,0,0,0,0,266,170,69,64,37,40.588,37.647,21.765,38,31,0,55.072,44.928,0,3,2.551,0,0,0,0,0,1,0.550724638,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.579,40.588,0,17.647,0,0,0,0,4.118,0,0,0,29.412,0,0,8.235,0,0,0,0,0,0,0,0,0,0,0,0,0
Train,EL,ALR,60696,4766,6982,0,0,0,0,5,30335,2.999,0.003,3,0.001,0.029,2,3,2372,347.6,0,0,0,0,0,0,177495,109819,98080,4780,6959,89.311,4.353,6.337,7089,90991,0,7.228,92.772,0,4,2.074,0,0,0,0,0,1,0.072277732,1.82,0,98.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.626,89.311,0,6.33,0,0,0,0,0.006,0,0,0,4.34,0,0,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0
Train,EL,ALCRO,33522,112691,116,0,0,0,0,12,10744,2.027,0.012,4,0.023,1.739,2,4,7,2.286,0,0.012,0,0,0,0,287890,254255,26329,227796,130,10.355,89.594,0.051,32,26297,0,0.122,99.878,0,4,2.025,0,0,0.002,0.007,0,1,0.025181359,0.754,0,99.246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.422,10.355,0,0.03,0,0,0,0,0.022,0,0,0,35.709,0,0,31.635,0,0.001,0,0,0,0,22.249,0,0,0,0,0,0
Train,EL,ALEH,544,0,17,0,0,0,0.006,5,220,9.279,0.368,2,0.044,0,1,2,2,1.5,0,0.025,0,0,0,0,1792,1231,1228,0,3,99.756,0,0.244,0,1228,0,0,100,0,3,2.675,0,0,0,0,0,1,0.675081433,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.024,99.756,0,0.244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Train,EL,ALCHO,34,22,20,0,0,7.442,0.225,4,7,3,3.03,2,0.063,0,1,2,2,2,0,0.144,0.061,0,0,0,214,161,82,73,6,50.932,45.342,3.727,20,62,0,24.39,75.61,0,4,2.561,0,14.706,0,0,22.727,2,0.274390244,13.333,0,75.556,0,0,0,0,0,0,0,0,0,11.111,0,0,0,0,0,0,0,0,0,0,35.294,50.932,0,3.727,0,0,0,0,0,0,0,0,13.665,0,0,31.677,0,0,0,0,0,0,0,0,0,0,0,0,0
Train,EL,ALR,38,50,59,0,0,0,0.033,2,7,1.938,8.108,3,0.028,3.39,2,3,5,1.579,0,0.031,0,0,0,0,266,170,69,64,37,40.588,37.647,21.765,38,31,0,55.072,44.928,0,3,2.551,0,0,0,0,0,1,0.550724638,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.579,40.588,0,17.647,0,0,0,0,4.118,0,0,0,29.412,0,0,8.235,0,0,0,0,0,0,0,0,0,0,0,0,0
Train,EL,ALCRO,70,26,68,0,0,0,0.089,7,6,2.296,1.449,2,0.031,0,1,3,3,1.737,0,0.06,0.038,0,0,0,308,172,106,26,40,61.628,15.116,23.256,35,71,0,33.019,66.981,0,3,2.415,0,5.714,0,0,15.385,2,0.226415094,0,0,91.667,0,0,0,0,0,0,0,0,0,8.333,0,0,0,0,0,0,0,0,0,0,56.818,61.628,0,19.767,0,0,0,0,3.488,0,0,0,15.116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Train,EL,ALER,829,0,79,0,0,0,0.018,12,98,3.304,0,1,0.019,0,1,3,6,3,0,0.019,0,0,0,0,1947,1040,1011,0,29,97.212,0,2.788,37,974,0,3.66,96.34,0,3,2.183,0,0,0,0,0,1,0.182987141,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.973,97.212,0,2.596,0,0,0,0,0.192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Train,EL,ALCRO,75,161,11,0,0,1.426,0.075,4,34,4.278,2.703,2,0.145,0,1,2,4,4,0,0.11,0.537,0,0,0,716,631,214,412,5,33.914,65.293,0.792,14,200,0,6.542,93.458,0,4,2.668,0,153.333,0,1.863,71.429,2,0.588785047,2.778,0,51.587,0,0,0,0,0,0,0,0,0,45.635,0,0,0,0,0,0,0,0,0,0,56.923,33.914,0,0.634,0,0,0,0,0.158,0,0,0,25.515,0,0,38.986,0,0.792,0,0,0,0,0,0,0,0,0,0,0
Train,EL,ALR,38,50,59,0,0,0,0.033,2,7,1.938,8.108,3,0.028,3.39,2,3,5,1.579,0,0.031,0,0,0,0,266,170,69,64,37,40.588,37.647,21.765,38,31,0,55.072,44.928,0,3,2.551,0,0,0,0,0,1,0.550724638,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.579,40.588,0,17.647,0,0,0,0,4.118,0,0,0,29.412,0,0,8.235,0,0,0,0,0,0,0,0,0,0,0,0,0
Train,EL,ALR,38,50,59,0,0,0,0.033,2,7,1.938,8.108,3,0.028,3.39,2,3,5,1.579,0,0.031,0,0,0,0,266,170,69,64,37,40.588,37.647,21.765,38,31,0,55.072,44.928,0,3,2.551,0,0,0,0,0,1,0.550724638,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.579,40.588,0,17.647,0,0,0,0,4.118,0,0,0,29.412,0,0,8.235,0,0,0,0,0,0,0,0,0,0,0,0,0
Train,EL,ALER,39,772,57,0,0,4.132,0.171,6,9,2.846,5.263,2,0.006,0,1,2,5,5,0,0.088,0,0,0,0,2552,2457,101,2350,6,4.111,95.645,0.244,54,47,0,53.465,46.535,0,3,2.634,0,0,0,0,0,1,0.633663366,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.938,4.111,0,0.204,0,0,0,0,0.041,0,0,0,31.42,0,0,64.225,0,0,0,0,0,0,0,0,0,0,0,0,0
Train,EL,ALCRO,34,10,64,0,0,0,0.237,6,7,2.727,6.061,2,0.006,3.125,2,2,3,1.5,0,0.122,0.022,0,0,0,205,108,90,8,10,83.333,7.407,9.259,58,32,0,64.444,35.556,0,3,2.667,0,5.882,0,0,20,2,0.344444444,0,0,96.774,0,0,0,0,0,0,0,0,0,3.226,0,0,0,0,0,0,0,0,0,0,6.667,83.333,0,5.556,0,0,0,0,3.704,0,0,0,4.63,0,0,2.778,0,0,0,0,0,0,0,0,0,0,0,0,0
Train,EL,ALR,38,50,59,0,0,0,0.033,2,7,1.938,8.108,3,0.028,3.39,2,3,5,1.579,0,0.031,0,0,0,0,266,170,69,64,37,40.588,37.647,21.765,38,31,0,55.072,44.928,0,3,2.551,0,0,0,0,0,1,0.550724638,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.579,40.588,0,17.647,0,0,0,0,4.118,0,0,0,29.412,0,0,8.235,0,0,0,0,0,0,0,0,0,0,0,0,0
Train,EL,ALCRO,63170,13,116,0,0,0,0,51,13786,1.775,0.01,25,0.023,1.739,2,4,7,2.286,0,0.011,0,0,0,0,197404,134121,133988,3,130,99.901,0.002,0.097,32,133956,0,0.024,99.976,0,4,2.417,0,0,0,61.538,0,1,0.416783593,0.009,0,99.991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.522,99.901,0,0.056,0,0,0,0,0.041,0,0,0,0.001,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0
Train,EL,ALCRO,3011,1152,474,0,0,0.133,0.004,14,53,3.014,0.166,6,0.008,1.266,12,6,35,3.164,0,0.006,0.055,0,0,0,9751,6268,3918,1937,413,62.508,30.903,6.589,134,3784,0,3.42,96.58,0,4,2.131,0,7.174,0.174,0.26,18.75,2,0.085630424,8.495,0,59.314,0,0,0,0,0,0,0,0,0,32.191,0,0,0,0,0,0,0,0,0,0,41.457,62.508,0,6.461,0,0,0,0,0.128,0,0,0,19.272,0,0,7.068,0,1.244,0,0,0,0,3.318,0,0,0,0,0,0
Train,EL,ALCRO,49,27,19,0,0,0,0.134,5,10,3.25,0,1,0.164,0,1,5,3,2,0,0.149,0.105,0,0,0,183,116,57,48,11,49.138,41.379,9.483,14,43,0,24.561,75.439,0,3,2.316,0,12.245,0,0,22.222,2,0.210526316,0,0,75,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,11.111,49.138,0,8.621,0,0,0,0,0.862,0,0,0,23.276,0,0,18.103,0,0,0,0,0,0,0,0,0,0,0,0,0
Train,EL,ALR,36,46,63,0,0,0,0.037,2,6,1.812,8.571,3,0.029,3.175,2,3,8,1.789,0,0.033,0,0,0,0,270,172,71,60,41,41.279,34.884,23.837,42,29,0,59.155,40.845,0,3,2.592,0,0,0,0,0,1,0.591549296,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.095,41.279,0,19.767,0,0,0,0,4.07,0,0,0,26.744,0,0,8.14,0,0,0,0,0,0,0,0,0,0,0,0,0
